COUNTA of Episode,,Genre,,,,,,,,,
Watch Date,Title,Adult Animation,Anime,Docuseries,Sitcom,TV Cartoons,TV Comdedies,TV Comedies,TV Drama,TV Mysteries,Grand Total
8/17/22,Thus Spoke Kishibe Rohan,,2,,,,,,,,2
8/17/22 Total,,,2,,,,,,,,2
8/18/22,Thus Spoke Kishibe Rohan,,2,,,,,,,,2
8/18/22 Total,,,2,,,,,,,,2
8/25/22,BoJack Horseman,3,,,,,,,,,3
8/25/22 Total,,3,,,,,,,,,3
10/6/22,Tuca & Bertie,6,,,,,,,,,6
10/6/22 Total,,6,,,,,,,,,6
10/7/22,Tuca & Bertie,2,,,,,,,,,2
10/7/22 Total,,2,,,,,,,,,2
10/28/22,Big Mouth,5,,,,,,,,,5
10/28/22 Total,,5,,,,,,,,,5
10/29/22,Big Mouth,3,,,,,,,,,3
10/29/22 Total,,3,,,,,,,,,3
10/30/22,Bee and PuppyCat,1,,,,,,,,,1
,Big Mouth,3,,,,,,,,,3
10/30/22 Total,,4,,,,,,,,,4
11/24/22,Wednesday,,,,,,,,,6,6
11/24/22 Total,,,,,,,,,,6,6
11/27/22,Wednesday,,,,,,,,,1,1
11/27/22 Total,,,,,,,,,,1,1
11/30/22,Tuca & Bertie,1,,,,,,,,,1
11/30/22 Total,,1,,,,,,,,,1
12/15/22,Key & Peele,,,,,,,1,,,1
12/15/22 Total,,,,,,,,1,,,1
12/21/22,Human Resources,3,,,,,,,,,3
12/21/22 Total,,3,,,,,,,,,3
12/22/22,Human Resources,1,,,,,,,,,1
12/22/22 Total,,1,,,,,,,,,1
12/23/22,Human Resources,2,,,,,,,,,2
12/23/22 Total,,2,,,,,,,,,2
12/25/22,Human Resources,2,,,,,,,,,2
,InuYasha,,2,,,,,,,,2
12/25/22 Total,,2,2,,,,,,,,4
12/28/22,Human Resources,2,,,,,,,,,2
12/28/22 Total,,2,,,,,,,,,2
12/31/22,Chicago Party Aunt,1,,,,,,,,,1
,InuYasha,,4,,,,,,,,4
12/31/22 Total,,1,4,,,,,,,,5
1/1/23,Chicago Party Aunt,1,,,,,,,,,1
1/1/23 Total,,1,,,,,,,,,1
1/3/23,Chicago Party Aunt,2,,,,,,,,,2
1/3/23 Total,,2,,,,,,,,,2
1/4/23,Chicago Party Aunt,1,,,,,,,,,1
1/4/23 Total,,1,,,,,,,,,1
1/5/23,Chicago Party Aunt,1,,,,,,,,,1
1/5/23 Total,,1,,,,,,,,,1
1/9/23,Chicago Party Aunt,1,,,,,,,,,1
1/9/23 Total,,1,,,,,,,,,1
1/10/23,Chicago Party Aunt,1,,,,,,,,,1
1/10/23 Total,,1,,,,,,,,,1
1/23/23,Tuca & Bertie,1,,,,,,,,,1
1/23/23 Total,,1,,,,,,,,,1
1/24/23,Avatar: The Last Airbender,,3,,,,,,,,3
,Girlfriends,,,,6,,,,,,6
,The Hollow,,,,,1,,,,,1
1/24/23 Total,,,3,,6,1,,,,,10
1/25/23,Girlfriends,,,,3,,,,,,3
1/25/23 Total,,,,,3,,,,,,3
1/26/23,Girlfriends,,,,6,,,,,,6
